Dataset	NexprotID	EnsemblID	GeneName	uPE1	PE_level	Chr	Coexpressed_EnsmbleID	Coexpressed_NextprotID	Coexpressed_GeneName	Coexpressed_gene_type	Coexpressed_Chr	Coexpressed_start	Coexpressed_end	
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000003147	NX_Q05084	ICA1	protein_coding	7	8113184	8262687
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000006704	NX_Q9UHL9	GTF2IRD1	protein_coding	7	74453790	74602604
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000007541	NX_Q9BRB3	PIGQ	protein_coding	16	566995	584136
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000008283	NX_P49447	CYB561	protein_coding	17	63432304	63446378
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000010671	NX_Q06187	BTK	protein_coding	X	101349447	101390796
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000011009	NX_O95372	LYPLA2	protein_coding	1	23790970	23795539
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000013306	NX_Q9BZJ4	SLC25A39	protein_coding	17	44319625	44324870
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000033800	NX_O75925	PIAS1	protein_coding	15	68054179	68198603
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000050820	NX_P56945	BCAR1	protein_coding	16	75228187	75268053
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000053254	NX_O00409	FOXN3	protein_coding	14	89124871	89619149
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000057935	NX_Q9BTC8	MTA3	protein_coding	2	42494569	42756947
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000058272	NX_O14974	PPP1R12A	protein_coding	12	79773563	79935460
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000063854	NX_Q16775	HAGH	protein_coding	16	1795620	1827194
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000065361	NX_P21860	ERBB3	protein_coding	12	56076799	56103505
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000065518	NX_O95168	NDUFB4	protein_coding	3	120596309	120602500
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000065615	NX_Q7L1T6	CYB5R4	protein_coding	6	83859643	83967424
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000067606	NX_Q05513	PRKCZ	protein_coding	1	2050470	2185395
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000068831	NX_Q7LDG7	RASGRP2	protein_coding	11	64726911	64745456
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000071462	NX_O43709	BUD23	protein_coding	7	73683025	73705161
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000071553	NX_Q15904	ATP6AP1	protein_coding	X	154428632	154436516
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000075884	NX_Q53QZ3	ARHGAP15	protein_coding	2	143091362	143768352
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000076604	NX_Q9BUZ4	TRAF4	protein_coding	17	28743984	28750958
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000076826	NX_Q9P1Y5	CAMSAP3	protein_coding	19	7595902	7618304
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000076864	NX_P47736	RAP1GAP	protein_coding	1	21596215	21669363
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000079462	NX_Q15102	PAFAH1B3	protein_coding	19	42297033	42303546
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000081014	NX_Q9UPM8	AP4E1	protein_coding	15	50908672	51005900
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000081237	NX_P08575	PTPRC	protein_coding	1	198638457	198757476
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000081320	NX_O94768	STK17B	protein_coding	2	196133566	196176503
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000082074	NX_O15117	FYB1	protein_coding	5	39105255	39274528
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000085998	NX_Q8WZA1	POMGNT1	protein_coding	1	46188682	46220305
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000086232	NX_Q9BQI3	EIF2AK1	protein_coding	7	6022244	6059230
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000087589	NX_Q9NQ75	CASS4	protein_coding	20	56412112	56460387
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000088367	NX_Q9H4G0	EPB41L1	protein_coding	20	36091504	36232799
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000088682	NX_O75208	COQ9	protein_coding	16	57447425	57461275
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000089693	NX_Q15773	MLF2	protein_coding	12	6747996	6767475
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000090097	NX_P57723	PCBP4	protein_coding	3	51957454	51974016
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000090376	NX_Q9Y616	IRAK3	protein_coding	12	66188879	66254622
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000096968	NX_O60674	JAK2	protein_coding	9	4984390	5128183
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000100060	NX_O00587	MFNG	protein_coding	22	37469063	37486401
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000100246	NX_O96015	DNAL4	protein_coding	22	38778508	38794198
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000100294	NX_Q8IVS2	MCAT	protein_coding	22	43132206	43143394
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000100368	NX_P32927	CSF2RB	protein_coding	22	36913628	36940449
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000100523	NX_Q8NEL9	DDHD1	protein_coding	14	53036745	53153282
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000100997	NX_Q8N2K0	ABHD12	protein_coding	20	25294743	25390983
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000101596	NX_A6NHR9	SMCHD1	protein_coding	18	2655738	2805017
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000101850	NX_P51810	GPR143	protein_coding	X	9725346	9786297
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000102981	NX_Q9NPB6	PARD6A	protein_coding	16	67660946	67662778
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000102996	NX_P51511	MMP15	protein_coding	16	58025566	58046901
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000103202	NX_O00746	NME4	protein_coding	16	396725	410367
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000103260	NX_Q9UJH8	METRN	protein_coding	16	715115	719655
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000103313	NX_O15553	MEFV	protein_coding	16	3242028	3256627
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000103502	NX_O14735	CDIPT	protein_coding	16	29858357	29863736
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000104043	NX_Q8TF62	ATP8B4	protein_coding	15	49858238	50182817
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000104524	NX_Q53H96	PYCR3	protein_coding	8	143603913	143609773
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000104853	NX_O96005	CLPTM1	protein_coding	19	44954585	44993341
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000104866	NX_O75864	PPP1R37	protein_coding	19	45091396	45148077
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000105204	NX_Q9Y463	DYRK1B	protein_coding	19	39825350	39834201
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000105258	NX_P36954	POLR2I	protein_coding	19	36113710	36115346
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000105357	NX_Q7Z406	MYH14	protein_coding	19	50188186	50310544
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000105383	NX_P20138	CD33	protein_coding	19	51225064	51243860
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000105438	NX_P24390	KDELR1	protein_coding	19	48382570	48391553
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000105483	NX_Q9Y2G2	CARD8	protein_coding	19	48180770	48255946
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000105568	NX_P30153	PPP2R1A	protein_coding	19	52190039	52229533
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000105649	NX_P20336	RAB3A	protein_coding	19	18196784	18204074
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000105767	NX_Q8NFZ8	CADM4	protein_coding	19	43622368	43639839
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000105851	NX_P48736	PIK3CG	protein_coding	7	106865278	106907145
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000106077	NX_Q8NFV4	ABHD11	protein_coding	7	73736094	73738867
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000106078	NX_O75128	COBL	protein_coding	7	51016212	51316818
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000106330	NX_O75425	MOSPD3	protein_coding	7	100612102	100615384
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000106367	NX_P61966	AP1S1	protein_coding	7	101154400	101161596
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000106829	NX_Q04727	TLE4	protein_coding	9	79571773	79726882
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000107290	NX_Q7Z333	SETX	protein_coding	9	132261356	132354985
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000108599	NX_O43572	AKAP10	protein_coding	17	19904302	19978343
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000108641	NX_Q9UPM9	B9D1	protein_coding	17	19337554	19378193
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000109381	NX_Q15723	ELF2	protein_coding	4	139028112	139177218
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000109501	NX_O76024	WFS1	protein_coding	4	6269849	6303265
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000110717	NX_O00217	NDUFS8	protein_coding	11	68030617	68036644
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000110934	NX_Q9UBW5	BIN2	protein_coding	12	51281038	51324668
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000111775	NX_P12074	COX6A1	protein_coding	12	120438090	120440742
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000111817	NX_Q9UL01	DSE	protein_coding	6	116254173	116444860
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000112186	NX_P40123	CAP2	protein_coding	6	17393216	17557792
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000112379	NX_Q5TH69	ARFGEF3	protein_coding	6	138161921	138344663
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000112406	NX_Q9UBI9	HECA	protein_coding	6	139135112	139180802
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000112514	NX_O60888	CUTA	protein_coding	6	33416442	33418317
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000112667	NX_O43598	DNPH1	protein_coding	6	43225629	43229484
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000113593	NX_Q96BP3	PPWD1	protein_coding	5	65563236	65587549
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000113645	NX_Q8IX03	WWC1	protein_coding	5	168291651	168472303
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000114331	NX_Q15057	ACAP2	protein_coding	3	195274736	195443078
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000114383	NX_O75896	TUSC2	protein_coding	3	50320027	50328251
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000114631	NX_Q9NZ53	PODXL2	protein_coding	3	127629181	127672809
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000114902	NX_Q9Y6A9	SPCS1	protein_coding	3	52704955	52711146
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000114993	NX_Q9BST9	RTKN	protein_coding	2	74425836	74442422
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000115232	NX_P13612	ITGA4	protein_coding	2	181457202	181536187
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000115648	NX_Q9BV36	MLPH	protein_coding	2	237485428	237555318
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000115956	NX_P08567	PLEK	protein_coding	2	68365173	68397453
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000116096	NX_P35270	SPR	protein_coding	2	72887360	72892158
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000116353	NX_Q9BV79	MECR	protein_coding	1	29192873	29230942
TCGA	NX_Q9H9R9	ENSG00000003249	DBNDD1	True	PE1	16	ENSG00000116521	NX_O14828	SCAMP3	protein_coding	1	155255979	155262430
